timestamp,price,jup_li_zscore7d_signal,ba_oi_zscore7d_signal,cme_oi_zscore7d_signal,all_miner_outflow,binance_btc_inflow,binance_btc_netflow,binance_btc_outflow,long_term_holder_sopr,MVMR,short_term_holder_sorp,WBTC_long_diff,WBTC_short_diff,all_miner_reverse_usd_diff,binance_reverse_usd_diff,btc_network_difficulity_diff,btc_network_hashrate_diff,exchange_stable_ratio_diff,open_interest_diff,realized_cap_diff
2025-03-17 16:00:00,83408.0,-0.1849579704577227,0.9605662522196208,-0.7630291767586944,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 17:00:00,84164.5,-0.2052091743355632,0.9597502836039568,-0.7534357292622301,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 18:00:00,84462.0,-0.2266525875059791,0.9589353015737414,-0.7439006812173946,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 19:00:00,84436.2,-0.249456660245316,0.9581213036973736,-0.7344213314785215,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 20:00:00,83923.4,-0.2738257752257452,0.9573082875515156,-0.7249950109054771,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 21:00:00,84033.3,-0.3000109034046418,0.956496250721092,-0.7156190783215398,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 22:00:00,84011.8,-0.3283244236501578,0.9556851907991908,-0.706290916481106,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 23:00:00,83962.9,-0.3591611847437433,0.9548751053870994,-0.6970079280310965,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-18 00:00:00,83752.6,1.234064746076115,-0.5284121374815853,-1.2433675940043698,7050.80863782,6787.07838806,-703.5994955599999,7490.67788362,1.8373128,1.93226503,0.98291255,-11449722.914343484,10609731.629083946,906420055.4986268,735453107.5405426,0.0,-27874910460.657597,0.1133889300000001,614887516.5586929,-29341204.2689209
2025-03-18 01:00:00,83127.2,1.2224628400463005,-0.5193604271610951,-1.2327979540245555,7050.80863782,6787.07838806,-703.5994955599999,7490.67788362,1.8373128,1.93226503,0.98291255,-11449722.914343484,10609731.629083946,906420055.4986268,735453107.5405426,0.0,-27874910460.657597,0.1133889300000001,614887516.5586929,-29341204.2689209
2025-03-18 02:00:00,83325.3,1.2111762404362396,-0.5102918756234486,-1.222592828599416,7050.80863782,6787.07838806,-703.5994955599999,7490.67788362,1.8373128,1.93226503,0.98291255,-11449722.914343484,10609731.629083946,906420055.4986268,735453107.5405426,0.0,-27874910460.657597,0.1133889300000001,614887516.5586929,-29341204.2689209
